id,name,type,usage_count
1,1girl,0,5201354
2,ahoge,0,539562
3,alternate_color_school_swimsuit,0,386
4,animal_ears,0,972743
5,blush,0,2540001
6,braid,0,534636
7,cat_ears,0,237552
8,cat_girl,0,67196
9,cat_tail,0,133104
10,covered_navel,0,109936
11,flat_chest,0,155431
12,green_eyes,0,723619
13,hair_ribbon,0,533231
14,looking_at_viewer,0,2759646
15,one-piece_swimsuit,0,120548
16,pink_hair,0,563998
17,pink_one-piece_swimsuit,0,1888
18,pool,0,15939
19,pool_ladder,0,2632
20,ribbon,0,952028
21,school_swimsuit,0,58303
22,short_hair,0,1938348
23,smile,0,2414221
24,solo,0,4327390
25,swimsuit,0,571622
26,tail,0,649101
27,tress_ribbon,0,21827
28,twin_braids,0,155306
29,wading,0,32767
30,water,0,194532
31,wet,0,129571
36,blue_eyes,0,1517445
37,bra,0,176807
38,breasts,0,2940766
39,brown_hair,0,1288773
40,cleavage,0,863231
41,clothes_lift,0,185617
42,folded_ponytail,0,20826
43,green_bra,0,3590
44,lingerie,0,53212
45,long_sleeves,0,1232106
46,medium_breasts,0,781816
47,oekaki,0,19195
48,school_uniform,0,698084
49,shirt_lift,0,72628
50,simple_background,0,1458866
51,sketch,0,132743
52,underboob,0,89477
53,underwear,0,715654
59,bare_shoulders,0,832444
60,black_choker,0,110206
61,black_dress,0,186303
62,black_eyes,0,182277
63,black_wings,0,35584
64,choker,0,329743
65,closed_mouth,0,904981
66,collarbone,0,668048
67,cross,0,58540
68,demon_girl,0,66505
69,demon_wings,0,32758
70,dress,0,1070675
71,head_tilt,0,124495
72,light_smile,0,59759
73,off-shoulder_dress,0,21114
74,off_shoulder,0,203292
75,shiny_skin,0,116548
76,short_dress,0,75166
77,upper_body,0,614997
78,white_background,0,1193915
79,wings,0,373078
81,1boy,0,1153995
82,breast_lift,0,5190
83,cum,0,217889
86,drill_hair,0,74635
87,greyscale,0,437099
88,hetero,0,477970
89,large_breasts,0,1356214
90,monochrome,0,554688
91,nipples,0,732271
92,oppai_loli,0,5055
94,penis,0,352609
95,petite,0,14934
96,pov,0,100889
97,solo_focus,0,309206
98,star_(symbol),0,198617
